quote,character,movie
Send word to all our allies and to every corner of Middle Earth that     still stands free. The enemy moves against us. We need to know where he will     strike.,Gandalf,The Return of the King
"The filth of Saruman is washing away. Trees will come back to live here. ,Young trees. Wild trees.  ",Treebeard,The Return of the King
Pippin!,Aragorn II Elessar,The Return of the King
Bless my bark!,Treebeard,The Return of the King
Peregrin Took. I'll take that my lad! Quickly now!,Gandalf,The Return of the King
Do not come between the Nazg'l and his prey.,Witch-King of Angmar,The Return of the King
"  Late as usual, pirate scum. ,  There's knifework here needs doing. Come on you sea rats, get off your ships.      ",MINOR_CHARACTER,The Return of the King
You see Mr Frodo some luck at last!,Samwise Gamgee,The Return of the King
"  Move it, you slugs!      ",MINOR_CHARACTER,The Return of the King
Come on!  Faster!,MINOR_CHARACTER,The Return of the King
"  Come along you scum! ,  I'll whip you down to the bone!  Come on!  What have I told you.    ,  Get up!    ,  Come on you slugs!  You two are going straight to the front line!  Move it, come on!  Fall in!  Move it! Move it! Move it!      ",MINOR_CHARACTER,The Return of the King
"  To the gate you slugs, now move it! ,  Don't you know we're at war?      ",MINOR_CHARACTER,The Return of the King
Company halt!  Inspection!,MINOR_CHARACTER,The Return of the King
You fool!  No man can kill me.  Die now!,Witch-King of Angmar,The Return of the King
"  There's plenty for the both of us, may be best Dwarf win!      ",Gimli,The Return of the King
I am no man!,�owyn,The Return of the King
Mr Frodo!,Samwise Gamgee,The Return of the King
Sam!  Help me!,Frodo Baggins,The Return of the King
Stand up Mr Frodo.  Stand up!,Samwise Gamgee,The Return of the King
"  Get off of me! ,  Nobody pushes me you filthy maggot!    ,  Get off of me!      ",Samwise Gamgee,The Return of the King
Retreat! The city is breached. Fall back to the second level. Get the     women and children out. Get them out. Retreat.,Gandalf,The Return of the King
"    Come on, come on!  ",MINOR_CHARACTER,The Return of the King
Move into the city. Kill all in your path.,Gothmog (Lieutenant of Morgul),The Return of the King
Break it up!  Break it up!,MINOR_CHARACTER,The Return of the King
Oy!  I'll have your guts if you don't shut this rabble down!,MINOR_CHARACTER,The Return of the King
It's so heavy!,Frodo Baggins,The Return of the King
"  Oh no!  What do I do? ,  What do I do?      ",Samwise Gamgee,The Return of the King
Hit me!  Hit me Sam!  Start fighting!,Frodo Baggins,The Return of the King
Go Sam.  Now!,Frodo Baggins,The Return of the King
Take them down!,MINOR_CHARACTER,The Return of the King
Fight! Fight to the last man. Fight for your lives.,Gandalf,The Return of the King
"    Gandalf! ,     Gandalf! Denethor has lost his mind. He's burning Faramir alive!  ",Peregrin Took,The Return of the King
Move along scum!,MINOR_CHARACTER,The Return of the King
Get back in the line you maggots!  Get back in the line you slugs!,MINOR_CHARACTER,The Return of the King
Up! Quickly!,Gandalf,The Return of the King
"    ,     Go back to the abyss! Fall into the nothingness that awaits you and your     master!  ",Gandalf,The Return of the King
"    Do you not know death when you see it, old man? , This is my hour!     ",Witch-King of Angmar,The Return of the King
I can't!  I can't' I can't manage the Ring Sam.  It's' it's' such a weight to carry.  It's such a weight.,Frodo Baggins,The Return of the King
